,Favs,RTs,Followers,Following,Listed,likes,tweets,Word Count,Tweet Id,User Name,result
1066,0.0,5.0,45.0,44.0,189.0,120.0,64991.0,17.0,1.0388017248598098e+18,Muchamad Eki S.A.,-10979.676677998443
1067,0.0,0.0,6439.0,1278.0,76.0,669.0,66854.0,31.0,1.0371209843383132e+18,Cannabis Institute,-12589.176871652495
1068,0.0,0.0,16.0,53.0,0.0,4879.0,135124.0,37.0,1.0371428114542633e+18,Marika Simon,-24605.16607803574
1069,1.0,0.0,366.0,314.0,8.0,88.0,6685.0,16.0,8.804220062982021e+17,Armağan,-1182.5352678827712
1070,1.0,0.0,4170.0,1866.0,183.0,5269.0,136479.0,16.0,1.0353069847556056e+18,Humphrey School,-25461.161086430584
1071,0.0,0.0,116.0,385.0,2.0,34446.0,22514.0,20.0,1.0372730624947649e+18,Kathy,-16286.211702259841
1072,7.0,453.0,78409.0,5593.0,31.0,310.0,55.0,18.0,9.14e+17,???????,-14690.90173258002
1073,0.0,4.0,823.0,2292.0,33.0,7353.0,21542.0,11.0,1.0392813634536612e+18,Matias Valdenegro 🐧,-6108.218160990559
1074,0.0,0.0,237.0,227.0,18.0,719.0,84522.0,10.0,1.036959466749608e+18,Dani Nicholson,-14552.304741339978
1075,0.0,0.0,378.0,281.0,87.0,582.0,8895.0,21.0,1.0398740189485261e+18,TMJ-MSP HRTA Jobs,-1722.2903063244476
1076,0.0,0.0,841.0,10.0,16.0,6872.0,147852.0,23.0,1.0399176489419283e+18,LWA,-27645.208224849208
1077,1.0,0.0,2886.0,2998.0,36.0,3687.0,125466.0,22.0,1.0399199643151688e+18,Konrad Schönborn,-22634.395350326708
1078,2.0,0.0,94.0,210.0,2.0,88.0,6685.0,24.0,1.037135421019435e+18,sagehero,-1146.9590554666918
1079,2.0,0.0,266.0,875.0,35.0,175.0,11245.0,1.0,1.037035598899372e+18,The EEC at PVCC,-1870.080069043717
1080,0.0,0.0,40.0,9.0,4.0,27535.0,245186.0,17.0,1.0387455053442867e+18,Nicola Cristian,-51450.67174744502
1081,0.0,0.0,3993.0,3862.0,145.0,1716.0,102154.0,29.0,1.0370879501762191e+18,Outcomes Magazine,-18032.26408671955
1082,28.0,10.0,28018.0,800.0,708.0,715.0,84522.0,39.0,1.0371345168574013e+18,HITS Daily Double,-19745.243907102948
1083,1.0,0.0,408.0,399.0,2.0,853.0,87499.0,3.0,1.037055651082584e+18,Ericka | IDOL,-15115.008344825836
1084,0.0,6.0,143.0,512.0,2.0,3534.0,125466.0,23.0,1.0372868805287485e+18,Issam afifi,-22436.902421746483
